album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
Aaja Mor Utte Charhke,5,6He4vn6Gt6ISOwQg1I2INW,Teriyan Dhumma Baba,spotify:track:6He4vn6Gt6ISOwQg1I2INW,0.252,0.758,0.713,0,0.141,-7.547,0.107,143.978,0.95,1
Aaja Mor Utte Charhke,6,5esBfsAkWvjHJfXI9wQZhv,Aaya Ji Aaya,spotify:track:5esBfsAkWvjHJfXI9wQZhv,0.521,0.827,0.725,0,0.101,-8.018,0.0411,99.999,0.961,1
Aaja Mor Utte Charhke,7,1Dej8rThe7hS11hH3V9bDo,Phera Bachcheyan Garib Wal Paa,spotify:track:1Dej8rThe7hS11hH3V9bDo,0.706,0.76,0.471,0,0.0983,-8.317,0.0514,147.99,0.813,1
Aaja Mor Utte Charhke,8,4NJaH3CCjRc7XdxUOVCbN4,Baba Balaknath Hum Hain Tere Pujari,spotify:track:4NJaH3CCjRc7XdxUOVCbN4,0.723,0.689,0.822,0,0.258,-6.522,0.154,186.048,0.971,2
MORNING BLISS,1,7fyF5WX3L5YbT1fQse8iW6,GUJARI TODI VILAMBIT,spotify:track:7fyF5WX3L5YbT1fQse8iW6,0.978,0.282,0.0855,0.86,0.132,-28.078,0.0375,124.094,0.16,0
MORNING BLISS,2,6kJrlLcl7wSvQtrys96ZF3,GUJARI TODI DRUT,spotify:track:6kJrlLcl7wSvQtrys96ZF3,0.951,0.342,0.328,0.924,0.111,-28.717,0.0377,131.782,0.794,0
MORNING BLISS,3,2JrROL3PxHrPFPEPvLF1aL,AHIR BHAIRAV DRUT,spotify:track:2JrROL3PxHrPFPEPvLF1aL,0.865,0.509,0.731,0.802,0.131,-9.542,0.0722,119.569,0.802,0
MORNING BLISS,4,41Ca1qF5BnOvXZZKvJoFMc,BILASKHANI TODI DRUT,spotify:track:41Ca1qF5BnOvXZZKvJoFMc,0.582,0.402,0.585,0.0608,0.365,-17.832,0.0452,109.535,0.817,0
MORNING BLISS,5,4puhoZAnL3RAT3Hto9Mc2E,HINDOL VILAMBIT,spotify:track:4puhoZAnL3RAT3Hto9Mc2E,0.923,0.345,0.528,0.896,0.12,-12.891,0.0557,84.94,0.393,0
MORNING BLISS,6,7i1bM3QReBETsK9lHiKqKK,HINDOL DRUT,spotify:track:7i1bM3QReBETsK9lHiKqKK,0.951,0.573,0.751,0.884,0.113,-11.414,0.0652,129.154,0.865,0
MORNING BLISS,7,4ZlyPdAxpEUOhuqkofWD56,JOGIA BHAJAN: HARIKA BHEDAN PAYO,spotify:track:4ZlyPdAxpEUOhuqkofWD56,0.944,0.331,0.197,0.913,0.115,-18.955,0.0319,106.798,0.26,0
MORNING BLISS,8,6f2W0weeFMhjJnbH4te7yd,JOGIYA THUMRI: PIYA KE MILAN KI AAS,spotify:track:6f2W0weeFMhjJnbH4te7yd,0.685,0.354,0.482,4.90E-05,0.309,-8.167,0.0294,121.905,0.205,0
MORNING BLISS,9,0i6YHmFNApk3A1luWkyzUX,BHAIRAVI THUMRI: BAJU BANDE KHUL KHUL JA,spotify:track:0i6YHmFNApk3A1luWkyzUX,0.661,0.389,0.571,0.00217,0.234,-8.757,0.036,125.974,0.414,0
MORNING BLISS,10,0QypkpYexdlvZYXJmzC39N,JAUNPURI VILAMBIT,spotify:track:0QypkpYexdlvZYXJmzC39N,0.92,0.265,0.453,0.567,0.153,-11.702,0.0369,125.609,0.387,0
MORNING BLISS,11,0kxtakVTR974FCT4JmRAqJ,JAUNPURI DRUT,spotify:track:0kxtakVTR974FCT4JmRAqJ,0.925,0.382,0.62,0.137,0.269,-11.488,0.0461,129.844,0.808,0
MORNING BLISS,12,73sxTMKEOTNjAt0I7R6yRb,BILASKHANI TODI VILAMBIT,spotify:track:73sxTMKEOTNjAt0I7R6yRb,0.621,0.399,0.468,0.48,0.524,-18.833,0.0587,116.882,0.191,0
MORNING BLISS,13,3dHV0uGP30W7MYGiYYtaiy,AHIR BHAIRAV VILAMBIT,spotify:track:3dHV0uGP30W7MYGiYYtaiy,0.835,0.361,0.481,0.078,0.128,-11.362,0.0432,123.378,0.171,0
RAAG RANG,1,3X08YVZ98gwGV0wEelEY9V,AAJ MANGAL GAVO SAKHI,spotify:track:3X08YVZ98gwGV0wEelEY9V,0.8,0.425,0.405,0.932,0.114,-20.619,0.0463,123.356,0.846,0
RAAG RANG,2,6QdNNZV3jqDSqyqXMcrO59,LAAJ RAKHO RI MORI,spotify:track:6QdNNZV3jqDSqyqXMcrO59,0.685,0.32,0.499,0.846,0.201,-16.151,0.0689,93.264,0.344,0
RAAG RANG,3,0Z3kdCktD5KxfHwrS5wAk1,BAGESHREE,spotify:track:0Z3kdCktD5KxfHwrS5wAk1,0.978,0.498,0.386,0.952,0.134,-20.203,0.0504,119.016,0.843,0
RAAG RANG,4,7IVRX8Lk3TBEk2gAu70ZnE,KALAVATI,spotify:track:7IVRX8Lk3TBEk2gAu70ZnE,0.914,0.418,0.53,0.962,0.13,-16.515,0.0356,129.032,0.812,0
RAAG RANG,5,18zz7OIrIVnmJftza5CYtS,KAUNSI KANADA,spotify:track:18zz7OIrIVnmJftza5CYtS,0.987,0.361,0.649,0.921,0.356,-13.993,0.391,128.868,0.734,0
RAAG RANG,6,3c6qZUeY65LXWfpj12nmVS,MALKAUNS,spotify:track:3c6qZUeY65LXWfpj12nmVS,0.614,0.415,0.536,0.869,0.0908,-15.848,0.0402,129.214,0.801,0
RAAG RANG,7,0sGwehL1UdnvVh6kDCGJDK,MARWA,spotify:track:0sGwehL1UdnvVh6kDCGJDK,0.902,0.419,0.546,0.917,0.12,-16.879,0.0501,121.55,0.618,0
RAAG RANG,8,2Dxc8aZdRxsDoPc4MHLr3i,MEGH MALHAR,spotify:track:2Dxc8aZdRxsDoPc4MHLr3i,0.966,0.236,0.437,0.89,0.282,-17.565,0.154,69.886,0.4,0
RAAG RANG,10,6c07UnIKmphRGAX7t4LZkd,NAT MALHAR,spotify:track:6c07UnIKmphRGAX7t4LZkd,0.979,0.28,0.77,0.969,0.689,-10.661,0.0517,126.743,0.49,0
RAAG RANG,11,3S9IvvkjMUR4imsZTJjyCD,POORVI,spotify:track:3S9IvvkjMUR4imsZTJjyCD,0.883,0.384,0.529,0.893,0.115,-19.909,0.11,127.435,0.679,0
RAAG RANG,12,7i7izu9o3kI3fM1UpUZ4Be,PURIYA,spotify:track:7i7izu9o3kI3fM1UpUZ4Be,0.981,0.491,0.569,0.929,0.118,-14.03,0.0474,136.074,0.84,0
RAAG RANG,13,4nWC7yUyx0woC69cKtDO7f,PURIYA DHANASHREE,spotify:track:4nWC7yUyx0woC69cKtDO7f,0.962,0.369,0.269,0.905,0.122,-30.211,0.0465,146.465,0.646,0
RAAG RANG,14,1F2qdsPkz3dlwTZa2q0Sqa,SARASWATI,spotify:track:1F2qdsPkz3dlwTZa2q0Sqa,0.952,0.413,0.463,0.931,0.361,-18.925,0.0435,115.726,0.803,0
RAAG RANG,15,2yf7lAQ3s7yFsNCmTKc4y4,SHUDH KALYAN,spotify:track:2yf7lAQ3s7yFsNCmTKc4y4,0.951,0.409,0.358,0.918,0.106,-22.592,0.0429,116.574,0.669,0
RAAG RANG,16,1YfdHkp0gtmKiZAc7hv0Cz,SOHNI,spotify:track:1YfdHkp0gtmKiZAc7hv0Cz,0.971,0.336,0.69,0.956,0.706,-10.083,0.0453,122.07,0.374,0
RAAG RANG,17,1Ba1OAtbgPVphmmdAce8ef,YAMAN,spotify:track:1Ba1OAtbgPVphmmdAce8ef,0.965,0.318,0.332,0.952,0.121,-26.855,0.0417,120.138,0.778,0
RAAG RANG,18,07HNlxA9frL5pdmLb5J1en,BASANT,spotify:track:07HNlxA9frL5pdmLb5J1en,0.971,0.402,0.197,0.934,0.103,-24.179,0.0394,130.938,0.343,0
RAAG RANG,19,0hEbByKumBVA5Tz7aIZpgf,SHANKARA,spotify:track:0hEbByKumBVA5Tz7aIZpgf,0.919,0.377,0.377,0.85,0.107,-18.089,0.0348,109.357,0.479,0
RAAG RANG,21,53Prr26RhZiA7L8pONbY0A,JOG,spotify:track:53Prr26RhZiA7L8pONbY0A,0.978,0.363,0.381,0.922,0.142,-23.053,0.109,134.222,0.758,0
Thumriyan,1,5S7TdLs59fy12noKkxnwhs,Gara Thumri,spotify:track:5S7TdLs59fy12noKkxnwhs,0.555,0.372,0.651,0.00639,0.256,-8.215,0.0396,99.973,0.601,0
Thumriyan,2,3nLYH3d2KTQCiyIezMMrth,Kafi Thumri,spotify:track:3nLYH3d2KTQCiyIezMMrth,0.608,0.354,0.479,0.000297,0.284,-8.968,0.0325,119.099,0.41,0
Thumriyan,3,2xfHHCVERy1mc9Hbh4DW2v,Jhinjoti Thumri,spotify:track:2xfHHCVERy1mc9Hbh4DW2v,0.574,0.381,0.452,8.49E-05,0.218,-9.109,0.0359,128.528,0.356,0
Thumriyan,4,72Rws5tToP4Px0DLV9xf4V,Zila Kafi Thumri,spotify:track:72Rws5tToP4Px0DLV9xf4V,0.685,0.497,0.494,0.00115,0.148,-9.649,0.0352,123.349,0.338,0
Thumriyan,5,0H15Ianw8Ru8uLJOxPtzSy,Pilu Thumri,spotify:track:0H15Ianw8Ru8uLJOxPtzSy,0.669,0.392,0.52,0.00104,0.114,-9.101,0.0332,128.625,0.222,0
Thumriyan,6,638nTqk35JFqH6J1sf8iIf,Jogiya Thumri,spotify:track:638nTqk35JFqH6J1sf8iIf,0.685,0.354,0.482,4.90E-05,0.309,-8.167,0.0294,121.905,0.205,0
Thumriyan,7,1C5MHyeU9DFa8rFMnw1PnP,Bhairavi Thumri,spotify:track:1C5MHyeU9DFa8rFMnw1PnP,0.661,0.364,0.571,0.00217,0.234,-8.757,0.0364,125.934,0.413,0
Majestic Ragas,1,4X4Tqt1O91rlCRFGxaTd7n,Raga Darbari Kanada,spotify:track:4X4Tqt1O91rlCRFGxaTd7n,0.752,0.36,0.508,0.000198,0.141,-11.335,0.0577,118.41,0.236,0
Majestic Ragas,2,4CZkV6GNil4uzhqEmdXRi7,Raga Jog,spotify:track:4CZkV6GNil4uzhqEmdXRi7,0.674,0.468,0.733,0.00492,0.0716,-8.595,0.0692,122.285,0.498,0
Majestic Ragas,3,0ctpFUf8iStoMZY4o8NkeL,Raga Megh Malhar - Live,spotify:track:0ctpFUf8iStoMZY4o8NkeL,0.77,0.338,0.593,0,0.693,-10.834,0.0584,122.952,0.221,0
AESTHETIC MELODIES,1,5FvAF4RwSqLLPNKkbH9r9h,KAMOD,spotify:track:5FvAF4RwSqLLPNKkbH9r9h,0.907,0.312,0.505,0.0392,0.084,-11.796,0.0403,125.44,0.591,0
AESTHETIC MELODIES,2,0I4GMVo7HpKYJc343mPbxr,NAND,spotify:track:0I4GMVo7HpKYJc343mPbxr,0.888,0.245,0.537,0.197,0.111,-10.611,0.0372,88.215,0.547,0
AESTHETIC MELODIES,3,6k9iLXYRmcxnntpowKJroF,NAT BIHAAG,spotify:track:6k9iLXYRmcxnntpowKJroF,0.874,0.398,0.573,0.227,0.132,-10.857,0.032,109.658,0.682,0
AESTHETIC MELODIES,4,0piX3W6F5B0GQcCgEbPtvy,JAUNPURI,spotify:track:0piX3W6F5B0GQcCgEbPtvy,0.917,0.294,0.526,0.473,0.411,-11.92,0.0482,133.253,0.435,0
AESTHETIC MELODIES,5,6MV3IOQyiklvQMM7Y1Scx6,ADANA,spotify:track:6MV3IOQyiklvQMM7Y1Scx6,0.886,0.307,0.59,0.189,0.12,-11.625,0.0457,125.715,0.572,0
AESTHETIC MELODIES,6,2s1JQWgMOB0EO9ZHvN2YOk,BAHAR,spotify:track:2s1JQWgMOB0EO9ZHvN2YOk,0.86,0.391,0.74,0.437,0.101,-7.849,0.0424,127.623,0.705,0
AESTHETIC MELODIES,7,1blx197VzHJvvK1EaU3TuA,DES,spotify:track:1blx197VzHJvvK1EaU3TuA,0.898,0.313,0.565,0.362,0.177,-12.133,0.0488,115.66,0.454,0
AESTHETIC MELODIES,8,0ADRcMZ8KnjyIQFOFAZwbe,DURGA,spotify:track:0ADRcMZ8KnjyIQFOFAZwbe,0.877,0.27,0.539,0.0238,0.138,-11.722,0.0444,105.881,0.587,0
ECLECTIC,1,1nmx2kJdFuVdmi8egYZRmk,PURIYA KALYAN,spotify:track:1nmx2kJdFuVdmi8egYZRmk,0.767,0.373,0.583,0.00167,0.33,-10.274,0.0507,115.407,0.329,0
ECLECTIC,2,6bteyj47FrUZp47UjU9Y9E,MIYA KI MALHAR,spotify:track:6bteyj47FrUZp47UjU9Y9E,0.714,0.421,0.622,0.00306,0.124,-10.181,0.065,136.881,0.344,0
ECLECTIC,3,4LVcEcj41q1pT5fsj1sZNk,AHIR BHAIRAV,spotify:track:4LVcEcj41q1pT5fsj1sZNk,0.725,0.398,0.596,0.000289,0.151,-10.17,0.0566,127.266,0.204,0
ECLECTIC,4,1R0nWxMA4pH933VcxemcbU,HINDOL,spotify:track:1R0nWxMA4pH933VcxemcbU,0.715,0.403,0.706,0.0107,0.286,-9.079,0.0601,89.106,0.484,0
EVENING MELODIES,1,5YJl9dzIfv8exdD65nHOG5,JAIJAIVANTI,spotify:track:5YJl9dzIfv8exdD65nHOG5,0.878,0.307,0.566,0.32,0.232,-11.228,0.0453,106.671,0.432,0
EVENING MELODIES,2,1hIAp9ZNPi4o36Y93UA8EH,MARU BIHAAG,spotify:track:1hIAp9ZNPi4o36Y93UA8EH,0.892,0.35,0.518,0.193,0.283,-13.298,0.0478,120.927,0.471,0
EVENING MELODIES,3,6DIIrH10ApRVnKnGuiBfbY,RAGESHREE,spotify:track:6DIIrH10ApRVnKnGuiBfbY,0.877,0.283,0.55,0.502,0.5,-12.396,0.0477,112.369,0.352,0
EVENING MELODIES,4,0CkenJDCsSANMqjeZeRfDx,GORAKH KALYAN,spotify:track:0CkenJDCsSANMqjeZeRfDx,0.918,0.275,0.469,0.381,0.118,-12.704,0.0358,106.998,0.328,0
AT HIS VERY BEST,1,3sZvdCcaYt64W6FbiosaKN,Raga Shankara,spotify:track:3sZvdCcaYt64W6FbiosaKN,0.857,0.327,0.661,0.17,0.148,-10.049,0.0328,110.645,0.44,0
AT HIS VERY BEST,2,3BU041aBUgUfYuzxrqE8tp,Raga Malkauns,spotify:track:3BU041aBUgUfYuzxrqE8tp,0.385,0.384,0.496,0.514,0.492,-15.735,0.0629,120.057,0.328,0
AT HIS VERY BEST,3,0AXDwiFf58ujh4ohEuaa6x,Raga Abhogi Kanada,spotify:track:0AXDwiFf58ujh4ohEuaa6x,0.703,0.368,0.313,0.452,0.118,-20.443,0.0473,114.645,0.34,0
Enchanting Ram Bhajans - In Adoration of Lord Rama,1,5WumFUA4sgLZexBdFbNeF1,Jinake Hiridaya Shri Ram Base,spotify:track:5WumFUA4sgLZexBdFbNeF1,0.727,0.444,0.543,0,0.0848,-6.859,0.0388,85.894,0.581,0
Enchanting Ram Bhajans - In Adoration of Lord Rama,2,05MYaqJRCr8uNcpSNHGihz,Thumak Chalat Ramchandra,spotify:track:05MYaqJRCr8uNcpSNHGihz,0.734,0.454,0.58,0,0.0934,-4.316,0.0412,178.756,0.855,0
Enchanting Ram Bhajans - In Adoration of Lord Rama,3,6LRxoQiHZ976wvYJAYuNUh,Janam Safal Hoga Re Bande,spotify:track:6LRxoQiHZ976wvYJAYuNUh,0.738,0.49,0.632,4.07E-05,0.0873,-5.889,0.0334,97.012,0.923,0
Enchanting Ram Bhajans - In Adoration of Lord Rama,4,2RzTXSQRNx2Kelp46UgIt2,Raghupati Raghav Raja Ram,spotify:track:2RzTXSQRNx2Kelp46UgIt2,0.679,0.404,0.643,0,0.166,-4.694,0.0319,99.256,0.766,0
Enchanting Ram Bhajans - In Adoration of Lord Rama,5,1GvPfCOlyh1lz5EQEBAVdC,Jai Ram Ramaa Ramanam,spotify:track:1GvPfCOlyh1lz5EQEBAVdC,0.68,0.388,0.611,0,0.137,-6.088,0.0406,90.66,0.751,0
Enchanting Ram Bhajans - In Adoration of Lord Rama,6,170WPNzFut6l6rRX2kuEU5,Shri Ramchandra Kripalu Bhajman,spotify:track:170WPNzFut6l6rRX2kuEU5,0.799,0.525,0.55,3.54E-06,0.0877,-7.044,0.033,153.502,0.653,0
Enchanting Ram Bhajans - In Adoration of Lord Rama,7,53BEOS1rJnephcCygr124a,Payoji Maine Ram Ratan Dhan Payo,spotify:track:53BEOS1rJnephcCygr124a,0.826,0.501,0.652,8.36E-05,0.131,-5.507,0.0325,96.829,0.884,0
Enchanting Ram Bhajans - In Adoration of Lord Rama,8,0xFFXw8UC53LnfOvhny8Pr,Bhajamana Bhajamana Ram,spotify:track:0xFFXw8UC53LnfOvhny8Pr,0.706,0.409,0.62,0,0.193,-4.922,0.0336,92.293,0.796,0
Thumris of the Kirana Gharana,1,7hkendr9gs0y7rIBjALV3f,Jadoo Bhareli Kaun Albeli Ke Naina Rasile,spotify:track:7hkendr9gs0y7rIBjALV3f,0.502,0.448,0.629,0.00142,0.119,-10.593,0.0437,106.274,0.663,0
Thumris of the Kirana Gharana,2,0guyA1Jn4z3Apub3Q5gsat,Bavarey Damde Gayo Kanha,spotify:track:0guyA1Jn4z3Apub3Q5gsat,0.595,0.36,0.462,0.0157,0.157,-11.803,0.0461,119.247,0.345,0
Thumris of the Kirana Gharana,3,2NKWBq392LQsE2HVNff62r,Karunya Kyun Nahi Aave Chain,spotify:track:2NKWBq392LQsE2HVNff62r,0.706,0.506,0.496,0.00112,0.296,-10.622,0.0564,131.297,0.394,0
Thumris of the Kirana Gharana,4,1i8dKneRU5zETmaeNhwVYa,Piya Bin Naahi Aavat Chain,spotify:track:1i8dKneRU5zETmaeNhwVYa,0.548,0.402,0.431,0.000281,0.0993,-11.523,0.053,118.434,0.447,0
Thumris of the Kirana Gharana,5,4BZvA0q68Pf2r9NyityIV1,Soch Samaj Naadaan,spotify:track:4BZvA0q68Pf2r9NyityIV1,0.648,0.412,0.453,0.00587,0.155,-11.911,0.0499,126.855,0.309,0
Thumris of the Kirana Gharana,6,3TSJsckFMUUYPbpulLLcUI,Piya Ke Milan Ki Aas,spotify:track:3TSJsckFMUUYPbpulLLcUI,0.681,0.375,0.447,0.000474,0.108,-11.106,0.0336,122.057,0.351,0
Thumris of the Kirana Gharana,7,5pfsAqdYrGREAUG3JCj8wv,Baaju Bande Khul Khul,spotify:track:5pfsAqdYrGREAUG3JCj8wv,0.642,0.335,0.507,0.00177,0.146,-11.942,0.0453,127.226,0.457,0
Embracing Krishna - Classical Krishna Bhajans,1,0v4mLqiDrKvDxMQVrKFnEe,Vidur Ghar Jaye Chalo Tum - Raga Pahadi,spotify:track:0v4mLqiDrKvDxMQVrKFnEe,0.217,0.604,0.484,2.27E-06,0.0924,-14.841,0.0378,106.884,0.666,0
Embracing Krishna - Classical Krishna Bhajans,2,4GDJBS5khwmEQJBpafLz6Q,Tuma Matha Javo Murari - Raga Jhinjoti,spotify:track:4GDJBS5khwmEQJBpafLz6Q,0.356,0.572,0.509,5.70E-06,0.213,-11.917,0.0475,96.982,0.633,0
Embracing Krishna - Classical Krishna Bhajans,3,6malWkHaZEH9FfVxuSG59W,Sabse Unchi Prem Sagayi - Raga Khamaj,spotify:track:6malWkHaZEH9FfVxuSG59W,0.139,0.59,0.539,0,0.228,-12.055,0.0423,99.363,0.712,0
Embracing Krishna - Classical Krishna Bhajans,4,3IAcBhufyENCKopmEhcGml,Tuma Bina Mori Kaun Khabar Le - Raga Piloo,spotify:track:3IAcBhufyENCKopmEhcGml,0.497,0.372,0.538,0.000249,0.0995,-13.04,0.0463,88.029,0.453,0
Embracing Krishna - Classical Krishna Bhajans,5,4drnp3VJ1V3k80CVe3SZKp,Chalo Mana Ganga Jamuna Teer - Raga Pahadi,spotify:track:4drnp3VJ1V3k80CVe3SZKp,0.201,0.568,0.55,0.000148,0.107,-13.465,0.045,104.107,0.557,0
Embracing Krishna - Classical Krishna Bhajans,6,6aR3bhrgh59QwKlhUzmtk9,Yeri Jasoda Tose Larongi Larayi - Raga Sohoni,spotify:track:6aR3bhrgh59QwKlhUzmtk9,0.295,0.407,0.508,0,0.221,-12.206,0.0465,99.449,0.404,0
Embracing Krishna - Classical Krishna Bhajans,7,24HF6LsTCUzOhcIvQv1myS,Jo Bhaje Hari Ko Sada - Raga Bhairavi,spotify:track:24HF6LsTCUzOhcIvQv1myS,0.125,0.474,0.562,9.98E-05,0.205,-12.865,0.0373,105.346,0.562,0
Thumris Of The Kirana Gharana (Studio),1,7J3JGkAD5W8i5JnCcWBCR7,Jadoo Bhareli Kaun Albeli Ke Naina Rasile - Studio,spotify:track:7J3JGkAD5W8i5JnCcWBCR7,0.528,0.452,0.62,0.00428,0.145,-10.724,0.0424,105.925,0.662,0
Thumris Of The Kirana Gharana (Studio),2,21Hc0V8QOZFtXVDHKYCAzU,Bavarey Damde Gayo Kanha - Studio,spotify:track:21Hc0V8QOZFtXVDHKYCAzU,0.606,0.357,0.46,0.046,0.111,-12.026,0.0432,119.264,0.351,0
Thumris Of The Kirana Gharana (Studio),3,3ZG73GIUUaHsY4GSTs554e,Karunya Kyun Nahi Aave Chain - Studio,spotify:track:3ZG73GIUUaHsY4GSTs554e,0.722,0.508,0.488,0.00169,0.34,-10.725,0.0443,131.253,0.406,0
Thumris Of The Kirana Gharana (Studio),4,2SybNSyG8xCKeP0m3tCUHB,Piya Bin Naahi Aavat Chain - Studio,spotify:track:2SybNSyG8xCKeP0m3tCUHB,0.517,0.403,0.411,0.000689,0.129,-11.642,0.0479,116.545,0.396,0
Thumris Of The Kirana Gharana (Studio),5,0VALCAFd2UtDgz7tADRzA9,Soch Samaj Naadaan - Studio,spotify:track:0VALCAFd2UtDgz7tADRzA9,0.679,0.43,0.443,0.00647,0.173,-12.064,0.0438,126.884,0.308,0
Thumris Of The Kirana Gharana (Studio),6,60SBgETylztHvrk4B5bkuQ,Piya Ke Milan Ki Aas - Studio,spotify:track:60SBgETylztHvrk4B5bkuQ,0.66,0.379,0.433,0.00122,0.113,-11.342,0.0333,121.829,0.334,0
Thumris Of The Kirana Gharana (Studio),7,1rzUqaYETdM9x1kZUsHuwV,Baaju Bande Khul Khul - Studio,spotify:track:1rzUqaYETdM9x1kZUsHuwV,0.631,0.386,0.487,0.00256,0.149,-12.18,0.0399,126.039,0.508,0
Exuberance,1,55oBajhEi3pH8ICzYXzsm3,Raga Marwa,spotify:track:55oBajhEi3pH8ICzYXzsm3,0.807,0.353,0.348,0.221,0.0571,-17.337,0.0405,122.165,0.193,0
Exuberance,2,5utIPov52Yr2KvTrsRdCBR,Raga Kalavati,spotify:track:5utIPov52Yr2KvTrsRdCBR,0.832,0.358,0.313,0.215,0.0632,-18.322,0.039,123.769,0.231,0
Exuberance,3,5jxzQ8S72ThGEISLGkNUCM,Bhajan Jogia,spotify:track:5jxzQ8S72ThGEISLGkNUCM,0.883,0.338,0.234,0.221,0.0767,-18.278,0.0319,107.073,0.302,0
In A Meditative Mood,1,73NlOqNEQyAPaFQg1W45wo,Raga Marwa - Vilambit Ektal,spotify:track:73NlOqNEQyAPaFQg1W45wo,0.8,0.353,0.354,0.189,0.0572,-17.332,0.0406,117.082,0.192,0
In A Meditative Mood,2,1VsSP0I4guIiE5jFMElSbG,Raga Kalavati - Vilambit Ektal,spotify:track:1VsSP0I4guIiE5jFMElSbG,0.834,0.358,0.313,0.256,0.063,-18.307,0.0387,124.788,0.224,0
In A Meditative Mood,3,3INDq9kE1zS3L4Ivdpb0zR,Bhajan Jogiya,spotify:track:3INDq9kE1zS3L4Ivdpb0zR,0.879,0.339,0.231,0.235,0.076,-18.237,0.0315,106.764,0.303,0
